Company,Ticker,Current Price,Market Cap (B),Latest Annual Revenue (B),Net Income (B),Top Holder 1,Top Holder 2,Top Holder 3,Period Return (%),Volatility (%),Avg Recommendation Score,Mean Price Target ($)
Apple Inc.,AAPL,230.42,3520,383.29,97.00,"Vanguard Group Inc - 1217289000","BlackRock Inc. - 1119435000","State Street Corp - 606520000",84.27,1.42,1.62,248.72
Microsoft Corp.,MSFT,416.22,3090,245.12,88.14,"Vanguard Group Inc - 712456000","BlackRock Inc. - 549123000","State Street Corp - 302789000",73.56,1.35,,
